"レイヤ名","事務所","告示年月日","告示番号","市町村名","現象","箇所名","箇所番号","経度","緯度","分類"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根7","Ⅱ-1456","140.201698286692","35.8080420617658","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根8","Ⅱ-1457","140.20301791865","35.8075175588564","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根8","Ⅱ-1457","140.202911086777","35.8078748762667","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根9","Ⅱ-1458","140.20376355611","35.8080387640579","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根11","Ⅱ-1460","140.201530804742","35.8051850578812","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根11","Ⅱ-1460","140.201634954831","35.8047079721582","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","瀬戸2","Ⅱ-7045","140.206726817799","35.7760188517127","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","吉高25","Ⅱ-7048","140.235171755953","35.7842696400169","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根13","Ⅱ-060050","140.201116453759","35.8131886137784","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根15","Ⅱ-060051","140.194172296637","35.8089379980241","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根15","Ⅱ-060051","140.194522720604","35.8098353662126","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根15","Ⅱ-060051","140.193646779133","35.8093150202397","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根16","Ⅱ-060052","140.203905864737","35.8069599242313","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根17","Ⅱ-060053","140.202262114173","35.8057254963152","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根17","Ⅱ-060053","140.20281538402","35.8061841817451","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根18","Ⅱ-060054","140.20030102766","35.804212177663","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根18","Ⅱ-060054","140.202006666326","35.8041139878235","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根19","Ⅱ-060055","140.198828562327","35.8030007585676","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","中根19","Ⅱ-060055","140.199101682848","35.803619654838","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第416号","印西市","急傾斜地の崩壊","平賀23","Ⅲ-0108","140.251229855314","35.7618635997993","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H24.3.2","千第137号","印西市","急傾斜地の崩壊","三郷","Ⅰ-0331","140.137252541605","35.7728591681552","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H27.6.5","千第438号","印西市","急傾斜地の崩壊","笠神4","Ⅱ-1444","140.199793011574","35.8183340243617","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H27.6.5","千第438号","印西市","急傾斜地の崩壊","戸神3","Ⅱ-060049","140.118074007621","35.7858767020037","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H24.3.2","千第137号","印西市","急傾斜地の崩壊","瀬戸3","Ⅰ-1502","140.207453435968","35.7741605439966","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H24.3.2","千第137号","印西市","急傾斜地の崩壊","吉田2","Ⅰ-1504","140.145091999588","35.7707225519029","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H24.3.2","千第137号","印西市","急傾斜地の崩壊","松虫13","Ⅰ-2074","140.209712129885","35.7843108692068","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","H27.6.5","千第438号","印西市","急傾斜地の崩壊","小林5","Ⅱ-1421","140.188936749968","35.8319207080161","土砂災害警戒区域"
