"レイヤ名","事務所","告示年月日","告示番号","市町村名","現象","箇所名","箇所番号","経度","緯度","分類"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根4","Ⅱ-1453","140.197151316767","35.8072765031193","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根6","Ⅱ-1455","140.200682111984","35.8070003561431","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根7","Ⅱ-1456","140.201717734699","35.807990374904","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根7","Ⅱ-1456","140.201303197234","35.8071448093599","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根8","Ⅱ-1457","140.203007341314","35.8075357438606","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根8","Ⅱ-1457","140.202968828084","35.8078766848948","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根9","Ⅱ-1458","140.203725693162","35.8080830099","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根11","Ⅱ-1460","140.201533717094","35.8051529992955","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根11","Ⅱ-1460","140.201648437986","35.8047141867641","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","瀬戸2","Ⅱ-7045","140.206753919406","35.7759976905426","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","吉高25","Ⅱ-7048","140.235198068002","35.7842268244161","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根13","Ⅱ-060050","140.201191106177","35.8131576599281","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","H29.5.30","千第417号","印西市","急傾斜地の崩壊","中根15","Ⅱ-060051","140.194188892135","35.8089466606603","土砂災害特別警戒区域"
